segregant,batch,OD_covariate
A06_56-BYxRM_eQTL_03,3,0.157
A06_57-BYxRM_eQTL_01,1,0.323
A06_58-BYxRM_eQTL_01,1,0.251
A06_59-BYxRM_eQTL_08,8,0.322
A06_60-BYxRM_eQTL_08,8,0.275
A06_61-BYxRM_eQTL_08,8,0.254
A06_62-BYxRM_eQTL_01,1,0.253
A06_63-BYxRM_eQTL_02,2,0.146
A06_64-BYxRM_eQTL_08,8,0.317
A06_66-BYxRM_eQTL_10,10,0.21
A06_67-BYxRM_eQTL_08,8,0.291
A06_68-BYxRM_eQTL_02,2,0.224
A06_69-BYxRM_eQTL_04,4,0.222
A06_70-BYxRM_eQTL_08,8,0.263
A06_71-BYxRM_eQTL_11,11,0.376
A06_73-BYxRM_eQTL_01,1,0.181
A06_75-BYxRM_eQTL_09,9,0.271
A06_76-BYxRM_eQTL_08,8,0.32
A06_77-BYxRM_eQTL_05,5,0.143
A06_78-BYxRM_eQTL_10,10,0.227
A06_80-BYxRM_eQTL_06,6,0.173
A06_81-BYxRM_eQTL_13,13,0.221
A06_82-BYxRM_eQTL_02,2,0.225
A06_83-BYxRM_eQTL_04,4,0.211
A06_84-BYxRM_eQTL_02,2,0.139
A06_85-BYxRM_eQTL_06,6,0.083
A06_86-BYxRM_eQTL_08,8,0.329
A06_87-BYxRM_eQTL_11,11,0.139
A06_88-BYxRM_eQTL_04,4,0.325
A06_89-BYxRM_eQTL_05,5,0.172
A06_90-BYxRM_eQTL_09,9,0.229
A06_91-BYxRM_eQTL_08,8,0.24
A06_92-BYxRM_eQTL_11,11,0.32
A06_93-BYxRM_eQTL_07,7,0.221
A06_94-BYxRM_eQTL_04,4,0.343
A06_95-BYxRM_eQTL_05,5,0.208
A06_96-BYxRM_eQTL_08,8,0.136
A07_01-BYxRM_eQTL_03,3,0.193
A07_02-BYxRM_eQTL_11,11,0.314
A07_03-BYxRM_eQTL_04,4,0.202
A07_04-BYxRM_eQTL_05,5,0.213
A07_05-BYxRM_eQTL_12,12,0.239
A07_06-BYxRM_eQTL_11,11,0.248
A07_07-BYxRM_eQTL_08,8,0.259
A07_08-BYxRM_eQTL_06,6,0.157
A07_09-BYxRM_eQTL_09,9,0.252
A07_10-BYxRM_eQTL_13,13,0.242
A07_11-BYxRM_eQTL_02,2,0.14
A07_12-BYxRM_eQTL_11,11,0.251
A07_13-BYxRM_eQTL_02,2,0.223
A07_14-BYxRM_eQTL_02,2,0.214
A07_15-BYxRM_eQTL_10,10,0.236
A07_16-BYxRM_eQTL_13,13,0.28
A07_17-BYxRM_eQTL_07,7,0.131
A07_18-BYxRM_eQTL_03,3,0.236
A07_19-BYxRM_eQTL_04,4,0.281
A07_20-BYxRM_eQTL_11,11,0.33
A07_21-BYxRM_eQTL_09,9,0.198
A07_22-BYxRM_eQTL_04,4,0.215
A07_23-BYxRM_eQTL_06,6,0.18
A07_24-BYxRM_eQTL_12,12,0.188
A07_25-BYxRM_eQTL_02,2,0.162
A07_26-BYxRM_eQTL_12,12,0.23
A07_27-BYxRM_eQTL_02,2,0.165
A07_28-BYxRM_eQTL_01,1,0.334
A07_29-BYxRM_eQTL_13,13,0.4
A07_30-BYxRM_eQTL_11,11,0.26
A07_31-BYxRM_eQTL_12,12,0.205
A07_32-BYxRM_eQTL_05,5,0.162
A07_33-BYxRM_eQTL_13,13,0.169
A07_34-BYxRM_eQTL_04,4,0.309
A07_35-BYxRM_eQTL_10,10,0.189
A07_36-BYxRM_eQTL_08,8,0.204
A07_37-BYxRM_eQTL_13,13,0.2
A07_38-BYxRM_eQTL_13,13,0.188
A07_39-BYxRM_eQTL_02,2,0.173
A07_40-BYxRM_eQTL_12,12,0.227
A07_41-BYxRM_eQTL_13,13,0.161
A07_42-BYxRM_eQTL_09,9,0.207
A07_43-BYxRM_eQTL_02,2,0.289
A07_44-BYxRM_eQTL_03,3,0.203
A07_45-BYxRM_eQTL_11,11,0.289
A07_46-BYxRM_eQTL_12,12,0.282
A07_47-BYxRM_eQTL_07,7,0.188
A07_48-BYxRM_eQTL_01,1,0.353
A07_49-BYxRM_eQTL_10,10,0.256
A07_50-BYxRM_eQTL_12,12,0.224
A07_51-BYxRM_eQTL_11,11,0.304
A07_52-BYxRM_eQTL_03,3,0.24
A07_53-BYxRM_eQTL_11,11,0.313
A07_54-BYxRM_eQTL_04,4,0.2
A07_55-BYxRM_eQTL_08,8,0.154
A07_56-BYxRM_eQTL_01,1,0.35
A07_57-BYxRM_eQTL_12,12,0.178
A07_58-BYxRM_eQTL_01,1,0.315
A07_59-BYxRM_eQTL_13,13,0.3
A07_60-BYxRM_eQTL_01,1,0.23
A07_61-BYxRM_eQTL_11,11,0.303
A07_62-BYxRM_eQTL_13,13,0.117
A07_63-BYxRM_eQTL_07,7,0.174
A07_64-BYxRM_eQTL_01,1,0.272
A07_65-BYxRM_eQTL_10,10,0.206
A07_66-BYxRM_eQTL_05,5,0.196
A07_67-BYxRM_eQTL_09,9,0.207
A07_68-BYxRM_eQTL_09,9,0.215
A07_69-BYxRM_eQTL_08,8,0.264
A07_70-BYxRM_eQTL_02,2,0.192
A07_71-BYxRM_eQTL_02,2,0.214
A07_72-BYxRM_eQTL_08,8,0.288
A07_73-BYxRM_eQTL_02,2,0.218
A07_74-BYxRM_eQTL_01,1,0.257
A07_75-BYxRM_eQTL_13,13,0.148
A07_76-BYxRM_eQTL_01,1,0.34
A07_77-BYxRM_eQTL_06,6,0.136
A07_78-BYxRM_eQTL_09,9,0.25
A07_79-BYxRM_eQTL_04,4,0.262
A07_80-BYxRM_eQTL_06,6,0.116
A07_81-BYxRM_eQTL_13,13,0.59
A07_82-BYxRM_eQTL_04,4,0.243
A07_83-BYxRM_eQTL_11,11,0.382
A07_84-BYxRM_eQTL_11,11,0.275
A07_85-BYxRM_eQTL_03,3,0.244
A07_86-BYxRM_eQTL_11,11,0.328
A07_87-BYxRM_eQTL_13,13,0.284
A07_88-BYxRM_eQTL_10,10,0.217
A07_89-BYxRM_eQTL_08,8,0.244
A07_90-BYxRM_eQTL_12,12,0.265
A07_91-BYxRM_eQTL_04,4,0.247
A07_92-BYxRM_eQTL_02,2,0.23
A07_93-BYxRM_eQTL_06,6,0.153
A07_94-BYxRM_eQTL_13,13,0.21
A07_95-BYxRM_eQTL_10,10,0.221
A08_01-BYxRM_eQTL_02,2,0.241
A08_02-BYxRM_eQTL_04,4,0.208
A08_03-BYxRM_eQTL_11,11,0.314
A08_04-BYxRM_eQTL_09,9,0.261
A08_05-BYxRM_eQTL_06,6,0.154
A08_06-BYxRM_eQTL_07,7,0.179
A08_07-BYxRM_eQTL_04,4,0.281
A08_08-BYxRM_eQTL_08,8,0.309
A08_09-BYxRM_eQTL_10,10,0.203
A08_10-BYxRM_eQTL_05,5,0.14
A08_11-BYxRM_eQTL_11,11,0.287
A08_12-BYxRM_eQTL_02,2,0.267
A08_13-BYxRM_eQTL_05,5,0.195
A08_15-BYxRM_eQTL_02,2,0.163
A08_16-BYxRM_eQTL_12,12,0.283
A08_17-BYxRM_eQTL_01,1,0.309
A08_18-BYxRM_eQTL_11,11,0.37
A08_19-BYxRM_eQTL_06,6,0.147
A08_20-BYxRM_eQTL_10,10,0.254
A08_21-BYxRM_eQTL_04,4,0.22
A08_22-BYxRM_eQTL_08,8,0.294
A08_23-BYxRM_eQTL_06,6,0.193
A08_24-BYxRM_eQTL_13,13,0.206
A08_26-BYxRM_eQTL_04,4,0.262
A08_27-BYxRM_eQTL_09,9,0.216
A08_28-BYxRM_eQTL_03,3,0.166
A08_29-BYxRM_eQTL_13,13,0.182
A08_30-BYxRM_eQTL_01,1,0.295
A08_31-BYxRM_eQTL_11,11,0.33
A08_32-BYxRM_eQTL_07,7,0.144
A08_33-BYxRM_eQTL_03,3,0.212
A08_34-BYxRM_eQTL_13,13,0.274
A08_35-BYxRM_eQTL_10,10,0.251
A08_36-BYxRM_eQTL_02,2,0.231
A08_37-BYxRM_eQTL_09,9,0.194
A08_38-BYxRM_eQTL_11,11,0.196
A08_39-BYxRM_eQTL_07,7,0.186
A08_40-BYxRM_eQTL_08,8,0.254
A08_41-BYxRM_eQTL_03,3,0.226
A08_42-BYxRM_eQTL_10,10,0.234
A08_43-BYxRM_eQTL_05,5,0.174
A08_44-BYxRM_eQTL_03,3,0.227
A08_45-BYxRM_eQTL_09,9,0.208
A08_46-BYxRM_eQTL_12,12,0.277
A08_47-BYxRM_eQTL_09,9,0.266
A08_48-BYxRM_eQTL_05,5,0.159
A08_49-BYxRM_eQTL_09,9,0.22
A08_50-BYxRM_eQTL_10,10,0.244
A08_51-BYxRM_eQTL_04,4,0.193
A08_52-BYxRM_eQTL_04,4,0.298
A08_53-BYxRM_eQTL_03,3,0.254
A08_54-BYxRM_eQTL_01,1,0.269
A08_55-BYxRM_eQTL_10,10,0.227
A08_56-BYxRM_eQTL_01,1,0.313
A08_57-BYxRM_eQTL_13,13,0.278
A08_58-BYxRM_eQTL_04,4,0.285
A08_59-BYxRM_eQTL_13,13,0.199
A08_60-BYxRM_eQTL_02,2,0.183
A08_61-BYxRM_eQTL_01,1,0.431
A08_62-BYxRM_eQTL_05,5,0.148
A08_63-BYxRM_eQTL_04,4,0.193
A08_64-BYxRM_eQTL_04,4,0.233
A08_65-BYxRM_eQTL_11,11,0.34
A08_66-BYxRM_eQTL_02,2,0.186
A08_67-BYxRM_eQTL_06,6,0.165
A08_68-BYxRM_eQTL_01,1,0.258
A08_69-BYxRM_eQTL_02,2,0.152
A08_70-BYxRM_eQTL_07,7,0.18
A08_71-BYxRM_eQTL_06,6,0.116
A08_72-BYxRM_eQTL_11,11,0.32
A08_73-BYxRM_eQTL_01,1,0.238
A08_74-BYxRM_eQTL_03,3,0.226
A08_75-BYxRM_eQTL_11,11,0.276
A08_76-BYxRM_eQTL_06,6,0.167
A08_77-BYxRM_eQTL_13,13,0.189
A08_78-BYxRM_eQTL_03,3,0.199
A08_79-BYxRM_eQTL_05,5,0.137
A08_80-BYxRM_eQTL_12,12,0.225
A08_81-BYxRM_eQTL_07,7,0.205
A08_82-BYxRM_eQTL_09,9,0.226
A08_83-BYxRM_eQTL_03,3,0.2
A08_84-BYxRM_eQTL_06,6,0.196
A08_85-BYxRM_eQTL_11,11,0.213
A08_86-BYxRM_eQTL_02,2,0.227
A08_87-BYxRM_eQTL_10,10,0.413
A08_89-BYxRM_eQTL_07,7,0.139
A08_90-BYxRM_eQTL_13,13,0.244
A08_91-BYxRM_eQTL_11,11,0.284
A08_92-BYxRM_eQTL_02,2,0.214
A08_93-BYxRM_eQTL_10,10,0.241
A08_94-BYxRM_eQTL_08,8,0.205
A08_95-BYxRM_eQTL_07,7,0.19
A08_96-BYxRM_eQTL_09,9,0.262
A09_01-BYxRM_eQTL_12,12,0.226
A09_02-BYxRM_eQTL_06,6,0.139
A09_03-BYxRM_eQTL_12,12,0.164
A09_04-BYxRM_eQTL_09,9,0.267
A09_05-BYxRM_eQTL_12,12,0.396
A09_06-BYxRM_eQTL_07,7,0.201
A09_07-BYxRM_eQTL_11,11,0.365
A09_08-BYxRM_eQTL_12,12,0.121
A09_09-BYxRM_eQTL_11,11,0.285
A09_10-BYxRM_eQTL_11,11,0.271
A09_11-BYxRM_eQTL_01,1,0.332
A09_12-BYxRM_eQTL_06,6,0.108
A09_13-BYxRM_eQTL_01,1,0.372
A09_14-BYxRM_eQTL_02,2,0.196
A09_15-BYxRM_eQTL_06,6,0.212
A09_16-BYxRM_eQTL_05,5,0.188
A09_17-BYxRM_eQTL_11,11,0.25
A09_18-BYxRM_eQTL_01,1,0.31
A09_19-BYxRM_eQTL_05,5,0.166
A09_20-BYxRM_eQTL_07,7,0.243
A09_21-BYxRM_eQTL_05,5,0.155
A09_22-BYxRM_eQTL_06,6,0.169
A09_23-BYxRM_eQTL_09,9,0.234
A09_24-BYxRM_eQTL_12,12,0.297
A09_25-BYxRM_eQTL_07,7,0.24
A09_26-BYxRM_eQTL_02,2,0.164
A09_27-BYxRM_eQTL_09,9,0.239
A09_28-BYxRM_eQTL_02,2,0.217
A09_29-BYxRM_eQTL_08,8,0.089
A09_30-BYxRM_eQTL_10,10,0.334
A09_31-BYxRM_eQTL_10,10,0.217
A09_32-BYxRM_eQTL_12,12,0.173
A09_33-BYxRM_eQTL_07,7,0.215
A09_34-BYxRM_eQTL_12,12,0.386
A09_35-BYxRM_eQTL_02,2,0.189
A09_36-BYxRM_eQTL_12,12,0.28
A09_37-BYxRM_eQTL_02,2,0.283
A09_38-BYxRM_eQTL_04,4,0.209
A09_39-BYxRM_eQTL_13,13,0.014
A09_40-BYxRM_eQTL_12,12,0.234
A09_41-BYxRM_eQTL_07,7,0.24
A09_42-BYxRM_eQTL_06,6,0.174
A09_43-BYxRM_eQTL_12,12,0.192
A09_44-BYxRM_eQTL_13,13,0.282
A09_45-BYxRM_eQTL_08,8,0.252
A09_46-BYxRM_eQTL_09,9,0.222
A09_47-BYxRM_eQTL_09,9,0.202
A09_48-BYxRM_eQTL_10,10,0.405
A09_49-BYxRM_eQTL_05,5,0.195
A09_50-BYxRM_eQTL_08,8,0.251
A09_51-BYxRM_eQTL_04,4,0.186
A09_52-BYxRM_eQTL_07,7,0.134
A09_53-BYxRM_eQTL_09,9,0.193
A09_54-BYxRM_eQTL_08,8,0.255
A09_55-BYxRM_eQTL_08,8,0.303
A09_56-BYxRM_eQTL_01,1,0.318
A09_57-BYxRM_eQTL_12,12,0.249
A09_58-BYxRM_eQTL_04,4,0.277
A09_59-BYxRM_eQTL_02,2,0.165
A09_60-BYxRM_eQTL_12,12,0.252
A09_61-BYxRM_eQTL_10,10,0.228
A09_62-BYxRM_eQTL_05,5,0.139
A09_63-BYxRM_eQTL_08,8,0.242
A09_64-BYxRM_eQTL_08,8,0.233
A09_66-BYxRM_eQTL_01,1,0.267
A09_67-BYxRM_eQTL_02,2,0.234
A09_68-BYxRM_eQTL_10,10,0.243
A09_69-BYxRM_eQTL_08,8,0.239
A09_70-BYxRM_eQTL_13,13,0.316
A09_71-BYxRM_eQTL_05,5,0.141
A09_72-BYxRM_eQTL_11,11,0.277
A09_73-BYxRM_eQTL_12,12,0.433
A09_74-BYxRM_eQTL_12,12,0.29
A09_75-BYxRM_eQTL_13,13,0.165
A09_76-BYxRM_eQTL_05,5,0.164
A09_78-BYxRM_eQTL_08,8,0.243
A09_79-BYxRM_eQTL_09,9,0.254
A09_80-BYxRM_eQTL_12,12,0.3
A09_81-BYxRM_eQTL_02,2,0.18
A09_82-BYxRM_eQTL_05,5,0.109
A09_83-BYxRM_eQTL_12,12,0.322
A09_84-BYxRM_eQTL_01,1,0.208
A09_85-BYxRM_eQTL_05,5,0.135
A09_86-BYxRM_eQTL_07,7,0.219
A09_87-BYxRM_eQTL_10,10,0.217
A09_88-BYxRM_eQTL_07,7,0.17
A09_89-BYxRM_eQTL_08,8,0.243
A09_91-BYxRM_eQTL_12,12,0.091
A09_92-BYxRM_eQTL_13,13,0.253
A09_93-BYxRM_eQTL_01,1,0.279
A09_94-BYxRM_eQTL_03,3,0.229
A09_95-BYxRM_eQTL_13,13,0.263
A09_96-BYxRM_eQTL_04,4,0.166
A10_01-BYxRM_eQTL_06,6,0.233
A10_02-BYxRM_eQTL_05,5,0.172
A10_03-BYxRM_eQTL_13,13,0.199
A10_04-BYxRM_eQTL_09,9,0.204
A10_05-BYxRM_eQTL_08,8,0.295
A10_06-BYxRM_eQTL_05,5,0.201
A10_08-BYxRM_eQTL_09,9,0.255
A10_09-BYxRM_eQTL_12,12,0.236
A10_10-BYxRM_eQTL_11,11,0.243
A10_11-BYxRM_eQTL_08,8,0.285
A10_12-BYxRM_eQTL_05,5,0.184
A10_13-BYxRM_eQTL_12,12,0.3
A10_14-BYxRM_eQTL_02,2,0.16
A10_15-BYxRM_eQTL_13,13,0.19
A10_16-BYxRM_eQTL_07,7,0.199
A10_17-BYxRM_eQTL_02,2,0.143
A10_18-BYxRM_eQTL_10,10,0.27
A10_19-BYxRM_eQTL_02,2,0.157
A10_20-BYxRM_eQTL_03,3,0.219
A10_21-BYxRM_eQTL_10,10,0.254
A10_22-BYxRM_eQTL_01,1,0.337
A10_23-BYxRM_eQTL_09,9,0.219
A10_24-BYxRM_eQTL_10,10,0.537
A10_25-BYxRM_eQTL_11,11,0.314
A10_26-BYxRM_eQTL_01,1,0.208
A10_27-BYxRM_eQTL_09,9,0.258
A10_28-BYxRM_eQTL_13,13,0.232
A10_29-BYxRM_eQTL_05,5,0.152
A10_30-BYxRM_eQTL_05,5,0.216
A10_31-BYxRM_eQTL_08,8,0.28
A10_32-BYxRM_eQTL_04,4,0.219
A10_33-BYxRM_eQTL_03,3,0.241
A10_34-BYxRM_eQTL_03,3,0.185
A10_35-BYxRM_eQTL_04,4,0.201
A10_36-BYxRM_eQTL_06,6,0.104
A10_37-BYxRM_eQTL_04,4,0.198
A10_38-BYxRM_eQTL_10,10,0.165
A10_39-BYxRM_eQTL_12,12,0.285
A10_40-BYxRM_eQTL_02,2,0.215
A10_41-BYxRM_eQTL_07,7,0.146
A10_42-BYxRM_eQTL_08,8,0.247
A10_43-BYxRM_eQTL_06,6,0.166
A10_44-BYxRM_eQTL_04,4,0.247
A10_45-BYxRM_eQTL_06,6,0.191
A10_46-BYxRM_eQTL_02,2,0.171
A10_47-BYxRM_eQTL_12,12,0.168
A10_48-BYxRM_eQTL_01,1,0.231
A10_49-BYxRM_eQTL_09,9,0.258
A10_50-BYxRM_eQTL_03,3,0.141
A10_51-BYxRM_eQTL_12,12,0.282
A10_52-BYxRM_eQTL_06,6,0.181
A10_53-BYxRM_eQTL_06,6,0.168
A10_54-BYxRM_eQTL_04,4,0.273
A10_55-BYxRM_eQTL_10,10,0.441
A10_56-BYxRM_eQTL_04,4,0.376
A10_57-BYxRM_eQTL_05,5,0.149
A10_58-BYxRM_eQTL_03,3,0.265
A10_59-BYxRM_eQTL_06,6,0.24
A10_60-BYxRM_eQTL_10,10,0.199
A10_61-BYxRM_eQTL_05,5,0.194
A10_62-BYxRM_eQTL_07,7,0.23
A10_63-BYxRM_eQTL_08,8,0.236
A10_64-BYxRM_eQTL_11,11,0.304
A10_65-BYxRM_eQTL_11,11,0.253
A10_66-BYxRM_eQTL_06,6,0.259
A10_67-BYxRM_eQTL_01,1,0.378
A10_68-BYxRM_eQTL_09,9,0.216
A10_69-BYxRM_eQTL_12,12,0.307
A10_70-BYxRM_eQTL_12,12,0.229
A10_71-BYxRM_eQTL_07,7,0.236
A10_72-BYxRM_eQTL_04,4,0.236
A10_73-BYxRM_eQTL_03,3,0.235
A10_74-BYxRM_eQTL_02,2,0.232
A10_75-BYxRM_eQTL_04,4,0.157
A10_76-BYxRM_eQTL_10,10,0.274
A10_77-BYxRM_eQTL_03,3,0.239
A10_78-BYxRM_eQTL_07,7,0.153
A10_79-BYxRM_eQTL_05,5,0.169
A10_80-BYxRM_eQTL_03,3,0.245
A10_81-BYxRM_eQTL_13,13,0.304
A10_82-BYxRM_eQTL_01,1,0.295
A10_83-BYxRM_eQTL_03,3,0.254
A10_84-BYxRM_eQTL_07,7,0.181
A10_85-BYxRM_eQTL_07,7,0.206
A10_86-BYxRM_eQTL_03,3,0.209
A10_87-BYxRM_eQTL_09,9,0.177
A10_88-BYxRM_eQTL_13,13,0.258
A10_89-BYxRM_eQTL_11,11,0.345
A10_90-BYxRM_eQTL_04,4,0.131
A10_91-BYxRM_eQTL_11,11,0.287
A10_92-BYxRM_eQTL_01,1,0.214
A10_93-BYxRM_eQTL_04,4,0.183
A10_94-BYxRM_eQTL_09,9,0.341
A10_95-BYxRM_eQTL_12,12,0.214
A10_96-BYxRM_eQTL_13,13,0.26
A11_01-BYxRM_eQTL_11,11,0.175
A11_02-BYxRM_eQTL_04,4,0.188
A11_03-BYxRM_eQTL_02,2,0.223
A11_04-BYxRM_eQTL_13,13,0.321
A11_05-BYxRM_eQTL_13,13,0.267
A11_06-BYxRM_eQTL_12,12,0.181
A11_07-BYxRM_eQTL_09,9,0.265
A11_08-BYxRM_eQTL_01,1,0.31
A11_09-BYxRM_eQTL_12,12,0.391
A11_10-BYxRM_eQTL_12,12,0.238
A11_11-BYxRM_eQTL_05,5,0.103
A11_12-BYxRM_eQTL_10,10,0.267
A11_13-BYxRM_eQTL_03,3,0.223
A11_14-BYxRM_eQTL_01,1,0.287
A11_15-BYxRM_eQTL_09,9,0.226
A11_16-BYxRM_eQTL_06,6,0.169
A11_17-BYxRM_eQTL_13,13,0.347
A11_18-BYxRM_eQTL_01,1,0.286
A11_19-BYxRM_eQTL_07,7,0.162
A11_20-BYxRM_eQTL_11,11,0.251
A11_21-BYxRM_eQTL_04,4,0.258
A11_22-BYxRM_eQTL_01,1,0.151
A11_23-BYxRM_eQTL_01,1,0.406
A11_24-BYxRM_eQTL_05,5,0.167
A11_25-BYxRM_eQTL_02,2,0.245
A11_26-BYxRM_eQTL_03,3,0.287
A11_27-BYxRM_eQTL_08,8,0.318
A11_28-BYxRM_eQTL_01,1,0.31
A11_29-BYxRM_eQTL_09,9,0.25
A11_30-BYxRM_eQTL_11,11,0.353
A11_31-BYxRM_eQTL_09,9,0.203
A11_32-BYxRM_eQTL_13,13,0.492
A11_33-BYxRM_eQTL_08,8,0.335
A11_34-BYxRM_eQTL_07,7,0.186
A11_35-BYxRM_eQTL_11,11,0.246
A11_37-BYxRM_eQTL_09,9,0.276
A11_38-BYxRM_eQTL_02,2,0.198
A11_39-BYxRM_eQTL_05,5,0.125
A11_40-BYxRM_eQTL_05,5,0.251
A11_41-BYxRM_eQTL_01,1,0.149
A11_42-BYxRM_eQTL_03,3,0.258
A11_43-BYxRM_eQTL_08,8,0.302
A11_44-BYxRM_eQTL_09,9,0.209
A11_45-BYxRM_eQTL_07,7,0.267
A11_46-BYxRM_eQTL_04,4,0.245
A11_47-BYxRM_eQTL_13,13,0.196
A11_48-BYxRM_eQTL_12,12,0.199
A11_49-BYxRM_eQTL_02,2,0.225
A11_50-BYxRM_eQTL_09,9,0.224
A11_51-BYxRM_eQTL_13,13,0.282
A11_52-BYxRM_eQTL_12,12,0.079
A11_53-BYxRM_eQTL_08,8,0.268
A11_54-BYxRM_eQTL_06,6,0.19
A11_55-BYxRM_eQTL_06,6,0.145
A11_56-BYxRM_eQTL_05,5,0.151
A11_57-BYxRM_eQTL_11,11,0.318
A11_58-BYxRM_eQTL_06,6,0.174
A11_59-BYxRM_eQTL_11,11,0.293
A11_60-BYxRM_eQTL_03,3,0.245
A11_61-BYxRM_eQTL_09,9,0.254
A11_62-BYxRM_eQTL_11,11,0.319
A11_63-BYxRM_eQTL_03,3,0.148
A11_64-BYxRM_eQTL_06,6,0.168
A11_65-BYxRM_eQTL_11,11,0.219
A11_66-BYxRM_eQTL_02,2,0.183
A11_67-BYxRM_eQTL_01,1,0.272
A11_68-BYxRM_eQTL_11,11,0.279
A11_69-BYxRM_eQTL_08,8,0.272
A11_70-BYxRM_eQTL_01,1,0.375
A11_71-BYxRM_eQTL_06,6,0.146
A11_72-BYxRM_eQTL_12,12,0.293
A11_73-BYxRM_eQTL_02,2,0.159
A11_74-BYxRM_eQTL_12,12,0.302
A11_75-BYxRM_eQTL_01,1,0.317
A11_76-BYxRM_eQTL_01,1,0.265
A11_77-BYxRM_eQTL_11,11,0.165
A11_78-BYxRM_eQTL_07,7,0.161
A11_79-BYxRM_eQTL_09,9,0.279
A11_80-BYxRM_eQTL_07,7,0.227
A11_81-BYxRM_eQTL_09,9,0.272
A11_82-BYxRM_eQTL_01,1,0.251
A11_83-BYxRM_eQTL_12,12,0.214
A11_84-BYxRM_eQTL_12,12,0.244
A11_85-BYxRM_eQTL_04,4,0.27
A11_86-BYxRM_eQTL_02,2,0.235
A11_87-BYxRM_eQTL_12,12,0.17
A11_88-BYxRM_eQTL_12,12,0.328
A11_89-BYxRM_eQTL_08,8,0.28
A11_91-BYxRM_eQTL_08,8,0.283
A11_92-BYxRM_eQTL_13,13,0.232
A11_93-BYxRM_eQTL_03,3,0.185
A11_94-BYxRM_eQTL_10,10,0.236
A11_95-BYxRM_eQTL_09,9,0.205
A11_96-BYxRM_eQTL_13,13,0.351